Country,Job_Role,Work_From_Home,Coffee_Consumption,Productivity_Score,Sleep_Hours,Stress_Level,Age_Group
South Korea,Data Scientist,Yes,5.161562038634829,66.44887428448206,5.5,3,36-45
USA,Product Manager,Yes,0.1,98.37700399322719,7.8,2,60+
Germany,Product Manager,No,3.14619363784273,60.35562351715846,4.6,10,60+
Brazil,Data Scientist,Yes,2.201731817933611,87.3698823391608,7.9,5,18-25
Canada,Product Manager,Yes,3.006215542699554,83.00606961081972,6.7,1,60+
Germany,HR Manager,Yes,0.998430617934562,75.95962313489224,6.8,6,26-35
India,HR Manager,No,3.277571160250619,48.80937732411073,4.9,1,18-25
France,Sales Executive,Yes,2.3696806145201057,71.95956844541298,6.7,6,46-60
South Korea,Product Manager,Yes,0.7691067676158059,43.646040394870724,4.3,5,18-25
Brazil,Software Engineer,No,3.045959585753253,82.24243257979346,7.4,4,46-60
Japan,Software Engineer,No,2.7288298116010097,56.09209189594776,4.6,1,18-25
UK,Data Scientist,No,4.721843605745955,100.0,8.4,8,46-60
France,Data Scientist,No,0.39989156142060217,57.63463686882081,4.6,10,60+
Canada,Software Engineer,No,2.295938874821363,56.90449735595568,4.8,8,46-60
Australia,Product Manager,Yes,2.344866621703272,84.14702790591744,7.0,6,26-35
USA,Designer,Yes,0.1,72.94432345496057,7.4,6,36-45
Australia,Software Engineer,Yes,4.079977756651508,67.17807279054283,5.6,9,18-25
France,HR Manager,No,1.2774401226974375,59.85432596943483,4.6,7,18-25
UK,Designer,No,2.103563583868828,56.60706877110079,5.4,5,46-60
Brazil,Sales Executive,No,4.0895152002333885,65.71877021603464,5.0,3,60+
Japan,Product Manager,No,3.9465362366493406,54.69248203747207,4.3,8,26-35
Australia,HR Manager,Yes,4.438947022370758,92.923560430496,8.5,10,36-45
Canada,Data Scientist,Yes,2.755625077271768,66.16390933053142,5.3,1,46-60
South Korea,HR Manager,No,0.36144914529294825,100.0,8.0,1,18-25
South Korea,Software Engineer,No,1.0975785127184574,99.90933127529247,8.9,2,18-25
Canada,Product Manager,Yes,2.9485387746740206,83.24110293150169,7.2,10,60+
USA,Product Manager,No,2.212833673882504,58.70319550229878,5.1,7,46-60
Australia,Product Manager,Yes,3.9661570059897957,63.75077815267604,5.8,3,36-45
Australia,HR Manager,No,5.212708174494015,86.15167908272123,7.2,8,46-60
France,Designer,No,1.8349010424950092,72.71958087045566,6.7,5,36-45
Germany,HR Manager,Yes,4.700303677277989,71.35783118609696,6.1,7,46-60
Japan,HR Manager,Yes,2.9424044689007243,88.61171276617442,8.1,7,18-25
Australia,Product Manager,No,1.5456199257715708,60.39489912873196,4.8,3,26-35
India,Designer,No,1.5969913092501486,66.66831052643474,5.5,6,26-35
Canada,Data Scientist,No,2.48038391111995,79.18769972128949,6.4,1,18-25
Australia,Software Engineer,No,1.5962681128117222,85.44991800572626,7.8,7,26-35
Japan,Software Engineer,No,4.357701058851037,97.65062532353315,8.9,2,46-60
Australia,Data Scientist,No,2.0109512521876116,73.10618142108846,6.8,6,26-35
Australia,Software Engineer,Yes,2.7483087803224224,97.77853369961944,9.0,2,46-60
USA,Data Scientist,No,0.1,78.88650246522425,6.7,7,18-25
Japan,Sales Executive,No,2.402490855480478,67.78494308322676,5.4,6,26-35
Australia,Product Manager,No,4.158771127897981,50.389173379111874,4.5,6,36-45
Australia,Software Engineer,Yes,2.4938481493323543,89.3480296005283,7.5,5,60+
Germany,Sales Executive,No,3.8908896583832635,82.77818929402476,6.6,6,26-35
UK,HR Manager,No,1.9379022790968636,72.0671745161185,6.0,10,36-45
Canada,HR Manager,Yes,4.080391238388681,97.38397906279033,7.8,5,46-60
Japan,HR Manager,No,1.4199094799015155,68.13105400448214,6.2,6,36-45
India,HR Manager,No,2.1397988744673375,54.776726483442914,5.1,1,60+
India,Product Manager,No,1.5513728142570842,48.10639875547861,4.7,5,36-45
Canada,Data Scientist,Yes,0.6688481431369475,63.480221557445915,4.6,6,36-45
USA,Data Scientist,Yes,1.2389692418971623,57.27182828177029,4.4,6,26-35
UK,Data Scientist,Yes,1.885785475477178,84.72207664544773,7.5,2,60+
Brazil,Product Manager,Yes,4.02647130924893,94.3998431315991,8.3,5,18-25
India,Software Engineer,No,3.355461294854933,68.37255476350812,6.4,2,26-35
Brazil,Product Manager,No,0.14383597515458416,81.22875989808414,5.9,10,18-25
USA,Software Engineer,No,1.7310653372605236,87.64610590987614,7.7,4,46-60
UK,Product Manager,Yes,3.173335383713144,51.54697397302446,4.1,6,46-60
South Korea,Designer,Yes,2.793227157384714,84.62883311949346,7.1,5,18-25
India,Data Scientist,No,1.3156609811902347,100.0,8.9,7,46-60
Canada,Data Scientist,Yes,2.0421758588058796,79.11942012139566,6.8,10,36-45
UK,Software Engineer,No,2.0573292833367547,75.04762772277344,6.9,1,26-35
South Korea,Data Scientist,No,2.106500945938953,54.35734178567998,4.2,10,26-35
Australia,Designer,No,4.548497982496359,73.41012248237517,5.4,1,46-60
Australia,Product Manager,No,3.816126848580502,88.7271002307749,7.2,7,46-60
Canada,Designer,No,0.10822929479098743,100.0,8.7,8,60+
Canada,Product Manager,No,2.0611276110353467,58.443921617844076,5.1,6,46-60
Germany,Sales Executive,Yes,2.9578373171464296,59.0519758987071,5.4,6,26-35
Brazil,Product Manager,Yes,1.326901026017452,92.37106539950176,8.3,5,36-45
India,Designer,No,3.1047318374346555,88.27862456144348,7.8,4,60+
India,Software Engineer,No,0.7141727546321404,85.47095759235474,7.0,5,18-25
France,Data Scientist,Yes,1.1261390922544678,59.5376768514259,5.8,5,60+
France,Designer,Yes,3.8316210562426427,91.64775159730307,7.4,7,36-45
USA,Data Scientist,Yes,1.162474151424178,87.20996050710505,7.8,9,26-35
Germany,Software Engineer,Yes,0.7820689244102805,81.8655946502629,7.4,6,60+
UK,Sales Executive,No,3.313729967302065,75.93947812369916,7.1,8,36-45
Germany,Designer,Yes,1.545393812074393,90.72571664067115,8.9,2,36-45
Japan,Software Engineer,No,2.2070468720651015,61.11585291980957,4.7,9,60+
Australia,HR Manager,No,4.027808637737408,86.36658983594202,7.6,4,26-35
India,Data Scientist,Yes,2.857123666297637,84.55019550129472,8.1,6,18-25
Australia,Designer,No,0.5761084090175752,76.52460613968192,7.3,10,60+
Canada,Designer,Yes,4.063994939209833,66.32107650354936,5.8,5,60+
Japan,HR Manager,No,2.8575238431530234,82.34510762644696,6.4,6,26-35
Australia,Designer,No,2.459787455717289,83.70204324318198,7.5,10,46-60
Canada,Software Engineer,Yes,2.4039459234339207,71.48428523440947,6.9,8,36-45
Japan,HR Manager,No,1.8162326302755734,54.77128467957028,4.6,4,36-45
Germany,Sales Executive,Yes,3.6162056519658172,94.63638215126164,8.6,6,18-25
India,Product Manager,No,1.0876259068932714,60.515566785292144,6.4,9,36-45
Germany,Software Engineer,No,1.7431300951872568,96.72852566741093,8.7,6,26-35
India,Designer,No,4.370237321969101,89.84532734895662,8.1,1,18-25
Canada,HR Manager,Yes,0.1,59.48103182406709,4.6,2,60+
Brazil,Product Manager,Yes,1.6829315215254095,68.24478047472672,4.9,6,18-25
UK,Product Manager,No,4.882644115147379,87.63282514773879,7.2,4,46-60
USA,HR Manager,No,1.4400778958026454,68.65555654722584,6.0,10,18-25
UK,Designer,No,3.3935844398327886,57.46737045629165,5.3,9,18-25
Brazil,Designer,Yes,0.1,74.8667990162493,5.2,7,46-60
Japan,Product Manager,No,3.355670680539931,80.29609217007244,7.0,10,60+
Australia,Data Scientist,Yes,4.361514928204012,79.06964645956474,6.9,2,60+
UK,Designer,Yes,0.6573182260854485,89.87937456444999,8.0,4,46-60
France,Sales Executive,Yes,5.01142496617375,91.99042380383928,8.1,4,18-25
USA,Designer,No,3.260412881077355,62.27819794038029,5.3,1,60+
Canada,HR Manager,No,3.640614392350479,70.13168996559882,6.3,9,36-45
Canada,Data Scientist,Yes,2.7620831762442206,54.26570529379804,4.7,3,60+
USA,Data Scientist,Yes,4.229212243424794,90.83623364892001,8.1,4,18-25
France,Designer,No,1.9541531251033613,94.28287614433117,8.7,10,46-60
UK,Product Manager,No,0.1,72.43577108661418,6.6,1,46-60
Canada,HR Manager,No,1.9490394176322072,66.53215113845948,5.6,7,18-25
Australia,Data Scientist,No,2.4245032112888487,60.72511391289572,5.2,7,18-25
Australia,Sales Executive,Yes,3.3837173645764542,95.51996494291345,7.8,9,60+
USA,Software Engineer,No,1.9520232577589227,61.74515095803494,6.5,9,46-60
Germany,Software Engineer,Yes,4.428775195361382,62.45753425961231,4.7,9,60+
Brazil,Product Manager,No,0.32016493806011226,97.23042596248814,8.1,5,36-45
South Korea,Product Manager,No,1.2369164604558935,52.63304883795925,5.3,6,18-25
Australia,HR Manager,Yes,1.6408198784747252,94.28656202959826,8.6,10,26-35
Brazil,Sales Executive,No,0.6714114072575098,94.14279567002104,8.6,1,46-60
Brazil,Designer,No,3.0038195176094384,46.96244152641089,4.4,7,18-25
Australia,Data Scientist,No,1.0135916245180114,90.11091656204562,8.4,4,60+
UK,Designer,Yes,2.9796354130426033,73.44712077267086,6.9,7,36-45
Brazil,Software Engineer,Yes,4.271421221791859,87.76135221711812,6.9,8,60+
Brazil,Designer,Yes,4.529941397124212,63.678391965737305,4.9,3,26-35
Australia,Sales Executive,No,3.8134951080722668,64.3577754749708,4.8,10,46-60
Australia,Software Engineer,Yes,0.6507926643258208,84.60836032021618,7.1,5,60+
USA,Designer,Yes,3.6926586898644183,47.354741143913856,4.3,7,60+
France,Data Scientist,No,2.574967264260378,95.37739866860113,8.8,1,26-35
India,Data Scientist,No,4.231051737131636,65.4468728061396,5.3,1,18-25
India,Designer,Yes,0.2348711908137795,90.88936095554027,8.7,10,26-35
Japan,Sales Executive,Yes,3.253571377141214,100.0,8.8,2,46-60
Germany,Designer,Yes,1.8993897640570816,82.79837300920933,7.4,4,26-35
France,Software Engineer,No,2.8017664489460117,65.12589596225202,5.7,9,46-60
France,HR Manager,No,2.685445255346584,83.55479984101746,7.0,10,46-60
Germany,Product Manager,Yes,2.3773059419985647,61.2213165574302,4.9,10,18-25
Canada,Designer,Yes,2.869357899335868,53.1951691709046,4.5,2,26-35
Germany,Data Scientist,No,3.316326218555975,88.79664901682123,7.3,7,36-45
USA,Software Engineer,Yes,2.2027861706028165,73.59468336200051,6.9,4,60+
UK,Data Scientist,No,0.9815818760774802,99.07967803472133,8.6,2,46-60
Australia,Designer,Yes,4.3627770421169165,69.96550628984193,5.7,8,36-45
France,Designer,No,1.6827271201405491,63.45226780343005,5.5,5,18-25
France,HR Manager,No,0.7909114358886555,72.63066511121059,6.1,1,60+
Canada,Product Manager,Yes,3.848973453061324,49.74443211807348,4.6,4,46-60
Brazil,Data Scientist,Yes,2.6599876392107547,70.6201350960345,5.6,5,18-25
France,Designer,No,3.7062962003908977,89.07548931778506,8.0,7,26-35
India,Product Manager,Yes,0.8787538550236524,80.38638489740481,7.3,7,46-60
Japan,Data Scientist,Yes,0.7408648908631761,56.24504612918444,4.1,10,26-35
USA,HR Manager,Yes,2.132749382079526,69.4782815472862,6.3,4,36-45
Japan,HR Manager,Yes,3.6063904634682493,84.9576935181822,8.2,1,36-45
USA,Sales Executive,No,0.1,77.21685413238048,7.5,2,26-35
India,Product Manager,No,0.42851485108468823,73.0300497567282,6.0,1,46-60
USA,Software Engineer,Yes,0.1,84.59785323751859,8.1,9,26-35
Brazil,Software Engineer,Yes,0.6901274479551278,89.77397090992183,7.1,10,60+
UK,Designer,No,5.339440404227618,63.59035296058139,6.4,10,60+
Canada,Designer,No,0.6613592801690447,75.48228184145019,5.7,3,46-60
USA,Designer,Yes,2.2695580228324777,77.05508733601309,6.6,10,36-45
France,Product Manager,No,2.5759665163433874,53.51643444064804,4.4,5,18-25
Australia,Product Manager,No,2.29115939838639,88.27540456595526,8.1,10,60+
France,Designer,No,2.7148144209618064,59.99568057176035,4.8,9,46-60
South Korea,HR Manager,No,0.1,74.81182648787576,6.5,4,36-45
Brazil,Product Manager,Yes,0.1,86.5165094100826,7.1,7,36-45
South Korea,Sales Executive,No,5.3189081559867315,56.5711382433102,4.6,6,18-25
UK,Sales Executive,No,1.544475298483683,72.75150880730939,6.2,8,26-35
Australia,Designer,Yes,4.220030735018287,89.18193893893073,8.1,10,26-35
Germany,Software Engineer,No,2.371972044662663,56.71527188139466,4.7,1,18-25
South Korea,HR Manager,Yes,3.838052137845097,92.5390088444603,8.1,7,46-60
France,Sales Executive,Yes,1.7092456744760247,87.44915803671687,8.6,4,60+
Canada,Product Manager,Yes,1.6044317975023779,79.25907288947144,7.6,6,46-60
Brazil,Data Scientist,No,2.458071281899434,66.71632047011357,5.3,6,18-25
Brazil,Product Manager,Yes,1.0845678417830227,77.85432719063971,6.7,2,60+
USA,HR Manager,No,1.0450719958555559,89.0800833182366,8.0,2,60+
Canada,HR Manager,Yes,0.8998517964721121,86.09216966532696,7.6,5,18-25
Japan,Software Engineer,No,2.672226150551691,75.73790852680835,6.4,4,18-25
Germany,Data Scientist,Yes,3.724107452482208,94.30120159845319,8.7,2,46-60
UK,Designer,Yes,4.98777256356118,78.10847637298843,7.2,4,36-45
Japan,Sales Executive,Yes,1.4867430622753919,93.9792262754884,8.3,7,26-35
UK,Designer,No,2.5566337165566777,95.10813611192484,9.0,2,26-35
France,Software Engineer,No,1.7143077727856462,66.04126377857236,5.4,5,26-35
Canada,Data Scientist,Yes,4.489606407753696,54.4870819788108,5.3,9,36-45
Japan,Software Engineer,Yes,3.559673257120586,92.14577818662822,7.7,10,18-25
Australia,Product Manager,No,0.575957829251338,57.362987412065216,4.5,1,18-25
India,Designer,Yes,2.4064657271378125,81.28014867156938,7.0,5,18-25
USA,Product Manager,Yes,0.30434825139867594,77.91345491972757,6.3,3,18-25
France,Product Manager,No,4.225246425172938,97.32737222231289,7.9,9,18-25
Australia,Sales Executive,Yes,2.826767038578658,73.07185032509065,5.8,6,46-60
Japan,Sales Executive,No,2.415729382927177,74.79562884334177,7.4,3,26-35
South Korea,Software Engineer,No,0.18826860733707537,58.60211516632149,5.5,7,18-25
India,HR Manager,Yes,1.1703932390555245,78.8759071115216,7.2,5,60+
South Korea,Sales Executive,No,3.3682911535937685,83.13045525105417,7.3,2,46-60
Canada,Data Scientist,No,1.1801390789096116,87.58829510234561,7.5,9,26-35
Japan,Sales Executive,Yes,1.998861365389191,73.37128093423267,6.7,7,36-45
USA,Product Manager,No,0.6785562857558731,92.9338338223854,8.2,6,18-25
Brazil,Product Manager,Yes,0.1,61.22308533823339,5.5,4,60+
UK,Designer,No,1.8527394035771645,88.94241098504025,8.2,6,36-45
USA,Data Scientist,No,2.1483964913269737,70.96669451575889,6.8,9,26-35
France,Product Manager,Yes,2.6120908796776603,66.38383376944547,6.1,10,18-25
Japan,Designer,Yes,0.6497999377166244,45.241576971918334,4.2,10,36-45
Australia,Software Engineer,No,5.622483856750642,47.12063373511334,4.2,5,46-60
Japan,Data Scientist,Yes,3.4291043592230004,92.2682089830392,7.7,4,26-35
France,Sales Executive,Yes,1.5536497604383048,91.25300555584029,8.6,5,36-45
Germany,Data Scientist,Yes,1.8755759877612612,100.0,8.7,3,26-35
Canada,HR Manager,No,1.9815246445609587,87.46658950440445,7.5,1,46-60
USA,Sales Executive,Yes,2.239883396489679,73.92418061847437,6.3,8,60+
UK,HR Manager,Yes,0.1,92.70821109909393,8.7,10,18-25
Canada,Product Manager,No,3.330060106836322,100.0,8.8,1,46-60
Canada,Designer,Yes,2.9941586032422887,86.12181086881112,7.9,10,36-45
Japan,HR Manager,No,1.0990744686038594,56.610049073226804,4.6,10,46-60
Japan,Designer,No,1.6488380492744155,100.0,8.6,5,60+
India,Software Engineer,No,0.24806013853228756,93.51970050137675,8.4,1,18-25
USA,Data Scientist,No,2.192316929266152,92.74636663142837,7.7,6,26-35
Canada,Software Engineer,No,3.626216667398112,84.48411787437057,7.8,1,60+
Japan,HR Manager,No,0.1,71.82505754751519,6.2,7,46-60
India,Sales Executive,Yes,2.3305276360899447,73.85400317817755,5.5,3,36-45
Germany,Data Scientist,Yes,0.1,53.86516471106116,4.7,1,18-25
France,HR Manager,Yes,4.301397155468049,95.06224278998465,7.6,3,26-35
Germany,Data Scientist,No,3.9412362076215928,93.53875967727738,8.0,5,36-45
UK,Sales Executive,No,3.2415256215876385,82.18766612052866,7.5,3,60+
USA,Product Manager,Yes,0.5625273444195227,99.1620386952776,8.6,10,36-45
Japan,HR Manager,No,3.958663691654391,100.0,8.8,9,60+
UK,Sales Executive,Yes,4.606431059419481,81.10904981108598,6.8,9,18-25
Japan,Data Scientist,No,4.737678108474776,52.14887640054772,5.0,9,46-60
UK,Software Engineer,Yes,3.37087798788858,64.36431412087566,5.8,8,60+
Germany,Sales Executive,No,0.365412173947647,91.76240682224248,8.3,6,18-25
UK,Product Manager,No,2.2665166873281333,81.62783285449977,7.2,1,26-35
South Korea,Product Manager,No,4.995227812904989,100.0,8.7,4,60+
India,Product Manager,No,0.7736468025616312,57.88850500466627,4.7,3,18-25
South Korea,Data Scientist,Yes,2.8936420644051744,79.32327820644949,7.6,6,60+
India,Software Engineer,Yes,3.889648592031913,62.90098925502981,5.1,3,36-45
Japan,HR Manager,No,4.340937069693161,98.05292872641911,8.5,2,60+
Brazil,Sales Executive,Yes,1.7482621729419003,90.7989522396552,7.8,7,36-45
USA,HR Manager,Yes,2.430373962440994,83.4039036277731,6.8,3,18-25
India,Data Scientist,No,3.3886502400897034,66.16961077274452,5.2,5,18-25
France,Sales Executive,No,3.1477652497475734,75.29590039614219,6.3,5,26-35
Australia,HR Manager,No,2.3361603183603394,64.64917144270676,5.5,8,60+
France,HR Manager,Yes,1.8534995326705832,54.69519533242004,5.3,5,36-45
India,Data Scientist,Yes,1.898735317681096,78.14809109566293,6.6,5,46-60
USA,Product Manager,Yes,2.6785077429825237,80.03843843581555,6.9,8,60+
India,Sales Executive,No,0.24343273545456112,72.35789418597686,6.1,6,60+
Canada,Sales Executive,No,2.588889802216784,56.61625712089845,5.3,2,46-60
India,Designer,Yes,0.7301151049705127,69.59471729795868,6.5,4,36-45
France,Data Scientist,Yes,5.56008458329481,86.26576426666452,7.1,6,60+
France,Data Scientist,Yes,4.204214305582085,97.80222423071673,8.8,7,46-60
USA,Product Manager,Yes,4.265296582777721,89.40750348686312,7.6,9,36-45
South Korea,Designer,Yes,2.859225998192803,58.14159188065231,4.8,4,26-35
Japan,Data Scientist,No,3.822229779699787,76.14878069747873,6.6,3,18-25
India,HR Manager,Yes,4.175517925760463,55.69141902987998,4.1,9,18-25
Japan,Sales Executive,No,3.3741998261970916,80.41977635891313,7.3,1,60+
Germany,HR Manager,No,5.049388425993595,96.48060388470492,8.6,1,36-45
Australia,HR Manager,No,2.8816880646221614,95.6886235564748,8.8,5,36-45
USA,Sales Executive,No,3.9083733538318812,96.82751886283842,8.9,5,60+
Canada,Product Manager,Yes,4.476862552972764,59.454139382656805,5.1,7,18-25
Australia,Data Scientist,No,0.521909714073115,91.11066885816857,8.0,10,36-45
USA,Data Scientist,Yes,3.6227859199519066,52.60625689168261,4.5,10,26-35
India,Designer,Yes,1.4507736711668062,63.278780627867604,4.7,8,18-25
Brazil,Designer,No,2.495515973521523,49.52696348890248,4.4,2,36-45
Brazil,Data Scientist,No,0.39327642414407626,75.0656417791932,6.6,8,36-45
USA,Data Scientist,No,2.064034067105283,52.801344708629124,4.5,1,26-35
UK,Software Engineer,No,3.902621849859092,59.23488942176866,4.2,4,60+
Germany,Software Engineer,No,3.0769361870827066,53.98277388255787,4.3,10,46-60
Japan,Sales Executive,No,0.41685113519861355,93.15922269734317,7.8,2,26-35
Japan,Software Engineer,Yes,1.2239561002387491,76.57219813481514,7.4,1,36-45
France,Data Scientist,Yes,0.1,98.33525132934629,8.7,8,26-35
Japan,Data Scientist,Yes,3.98728890641592,79.44815397811719,6.5,5,46-60
Australia,Software Engineer,No,3.7122550871294715,74.41141994637712,6.4,1,46-60
France,Software Engineer,Yes,0.792905693606134,59.32740187532676,4.4,10,18-25
France,Sales Executive,Yes,1.8367962153175905,52.41355774949814,4.5,6,18-25
India,Software Engineer,Yes,1.8071369768322278,99.0467372009279,8.2,1,46-60
Japan,Sales Executive,Yes,3.260739004816286,68.49449061809625,4.7,1,60+
Japan,Product Manager,Yes,2.882362566458195,77.18580719780171,6.9,1,60+
Japan,Sales Executive,No,2.8781200142854115,76.77248739299614,6.9,9,26-35
Germany,Data Scientist,Yes,0.1,93.2669223855885,7.6,2,26-35
Brazil,Sales Executive,No,1.5491214782077316,67.89786072865357,5.0,9,36-45
UK,Sales Executive,Yes,2.0524936394902284,80.38569986423366,7.3,6,60+
USA,Product Manager,No,1.8366188122867722,70.89906591452072,6.3,10,36-45
Germany,Software Engineer,No,2.337122489159619,94.59107695569746,8.6,1,36-45
India,Sales Executive,Yes,4.028276804316915,48.27774744482861,4.5,1,18-25
Japan,Product Manager,No,1.7209811357830167,75.40674026757901,7.0,5,18-25
Germany,Software Engineer,Yes,2.7895781750144892,75.97929616623966,7.1,2,60+
Japan,Product Manager,Yes,0.5996806550405978,85.16101217447935,7.9,3,36-45
USA,Designer,No,0.4552427851872386,63.82657556306609,5.4,1,46-60
India,Designer,Yes,0.6962583827193864,60.1710736626826,4.9,7,18-25
Australia,Software Engineer,Yes,1.5427300773736907,71.75250246407039,5.4,5,18-25
Canada,Designer,Yes,3.3224832855543616,60.00822979630605,5.5,5,46-60
South Korea,Product Manager,Yes,0.1,82.92161199238292,6.8,7,36-45
UK,Sales Executive,No,0.46824252593394067,91.93005577887246,8.3,10,36-45
India,HR Manager,Yes,1.7074588597918423,69.75268145173783,6.0,3,36-45
UK,HR Manager,No,1.2037396307836494,57.37409746083302,4.4,6,36-45
UK,Sales Executive,Yes,3.4218246273578483,62.386389892188504,5.8,9,60+
USA,Designer,Yes,2.2949014666088363,73.91204873092025,6.2,6,46-60
UK,Software Engineer,Yes,3.9676715833810214,90.83226104106528,8.0,1,26-35
Japan,Software Engineer,No,2.2856841405949853,89.46225632004075,7.7,1,60+
Canada,Product Manager,No,2.8621908733076213,88.44584321953909,7.7,7,46-60
India,Sales Executive,No,1.3776704212216022,89.27650069955448,6.7,8,18-25
USA,Data Scientist,No,1.1575176336043302,69.81130007874341,6.3,4,26-35
UK,Designer,No,4.693008408072677,92.34501522499092,8.5,9,18-25
Germany,Designer,No,0.1,85.88429736787617,7.9,1,60+
Canada,Software Engineer,Yes,1.2329429146321889,57.22261440419873,5.0,5,60+
South Korea,Designer,No,1.182923312638332,73.81306436346742,6.7,6,18-25
Canada,Data Scientist,No,2.1334555745933117,62.94508265553776,4.7,7,36-45
France,Software Engineer,No,4.743066541331653,100.0,9.0,6,46-60
India,Product Manager,No,2.8923146289747925,73.14626853125262,6.6,1,46-60
South Korea,Sales Executive,Yes,1.4321400095477315,75.83822213447885,7.0,2,26-35
Japan,Designer,Yes,0.520630256788443,67.35707778193202,5.5,4,46-60
France,Software Engineer,No,4.525695625652899,92.23888477859515,8.5,2,26-35
Canada,Data Scientist,No,3.292094857517281,98.16465908877755,8.5,1,60+
